Serial,Event,&quot;Parish&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
41,RAIN,Westmoreland,11/06/1986,0,0,0
40,RAIN,St. Ann,23/05/1986,0,0,0
39,RAIN,Portland,23/05/1986,0,0,0
38,RAIN,Trelawny,23/05/1986,0,0,0
37,RAIN,St. Catherine,23/05/1986,0,0,0
36,RAIN,Westmoreland,23/05/1986,0,0,0
35,RAIN,St. James,23/05/1986,0,0,0
34,RAIN,Kingston,23/05/1986,0,0,0
33,RAIN,St. Mary,23/05/1986,0,0,0
32,RAIN,Manchester,23/05/1986,0,0,0
31,RAIN,Hanover,23/05/1986,0,0,0
30,RAIN,St. Thomas,23/05/1986,0,0,0
29,RAIN,St. Andrew,23/05/1986,0,0,0
28,RAIN,Clarendon,23/05/1986,0,0,0
27,RAIN,St. Elizabeth,23/05/1986,0,0,0
26,STRONGWIND,Westmoreland,13/09/1986,0,0,0
25,HURRICANE,St. Elizabeth,19/11/1985,0,0,0
24,HURRICANE,Manchester,19/11/1985,0,0,0
23,HURRICANE,Clarendon,19/11/1985,0,60000,0
22,HURRICANE,St. Ann,19/11/1985,0,0,11
21,HURRICANE,St. Mary,12/09/1988,0,0,0
20,HURRICANE,St. Elizabeth,12/09/1988,0,0,0
19,HURRICANE,Manchester,12/09/1988,0,0,0
18,HURRICANE,Kingston,12/09/1988,0,0,0
17,HURRICANE,St. Thomas,12/09/1988,0,0,0
16,HURRICANE,Hanover,12/09/1988,0,0,0
15,HURRICANE,St. Andrew,12/09/1988,0,0,0
14,HURRICANE,Clarendon,12/09/1988,0,0,0
13,HURRICANE,St. Catherine,12/09/1988,0,0,0
12,HURRICANE,St. Ann,12/09/1988,0,0,0
11,HURRICANE,Portland,12/09/1988,0,0,0
10,HURRICANE,Trelawny,12/09/1988,0,0,0
9,HURRICANE,Westmoreland,12/09/1988,0,0,0
8,HURRICANE,St. James,12/09/1988,0,0,7000000000
7,FLOOD,Clarendon,11/06/1986,0,0,0
6,EARTHQUAKE,Hanover,04/08/1984,0,0,0
5,EARTHQUAKE,St. Catherine,16/07/1984,0,0,0
4,EARTHQUAKE,Portland,09/05/1988,0,0,0
3,EARTHQUAKE,St. Catherine,16/01/1987,0,0,0
2,EARTHQUAKE,St. Andrew,31/08/1985,0,0,0
1,EARTHQUAKE,St. Thomas,01/07/1985,0,0,0
1,DROUGHT,St. Mary,06/05/2002,6,99,20
6340,EPIDEMIC,Westmoreland,27/09/1983,0,0,0
6339,EPIDEMIC,Clarendon,14/09/1983,0,0,0
6338,FIRE,Kingston,28/12/1983,70,0,0
6337,ELECTRICSTORM,St. Elizabeth,30/08/1983,0,0,0
6336,EPIDEMIC,St. Andrew,20/07/1983,0,0,0
6335,FIRE,Clarendon,11/07/1983,0,0,0
6334,FORESTFIRE,St. Mary,09/07/1983,0,0,0
6333,FIRE,Manchester,18/07/1983,0,0,0
6332,ELECTRICSTORM,Westmoreland,05/07/1983,0,0,0
6331,FIRE,St. Elizabeth,03/07/1983,0,0,0
6330,FIRE,St. Elizabeth,26/05/1983,0,0,0
6328,ELECTRICSTORM,St. Ann,14/05/1983,0,0,0
6328,ELECTRICSTORM,St. Ann,14/05/1983,0,0,0
6327,FIRE,St. Andrew,20/05/1983,0,0,0
6326,FIRE,Portland,1983/5/0,15,0,0
6325,FIRE,St. Andrew,05/02/1983,0,0,0
6324,DROUGHT,St. Andrew,20/01/1983,0,0,0
6323,EPIDEMIC,St. James,01/06/1982,0,0,0
6322,FIRE,St. James,06/12/1982,0,0,0
6321,FIRE,St. James,13/12/1982,0,0,0
6320,FIRE,St. Andrew,12/11/1982,0,0,0
6319,FIRE,St. James,31/10/1982,0,0,0
6318,EPIDEMIC,St. James,03/01/1982,0,0,0
6317,LANDSLIDE,Hanover,02/10/1982,0,0,0
6316,FIRE,St. Catherine,27/09/1982,0,0,0
6315,DROUGHT,St. Ann,02/09/1982,0,0,0
6314,FIRE,St. Mary,10/08/1982,0,0,0
6313,FIRE,Westmoreland,01/09/1982,0,0,0
6312,DROUGHT,St. Mary,16/08/1982,0,0,0
6311,RAIN,Westmoreland,08/09/1982,0,0,0
6310,FIRE,St. Catherine,07/09/1982,0,0,0
6309,FIRE,St. Andrew,07/09/1982,0,0,0
6307,FIRE,St. James,25/07/1982,0,0,0
6308,HURRICANE,St. Mary,03/08/1982,0,0,0
6306,FIRE,St. Mary,14/07/1982,0,0,0
6305,LANDSLIDE,St. James,16/05/1982,0,0,0
6304,LANDSLIDE,St. Ann,04/12/1981,0,0,0
6302,EPIDEMIC,Westmoreland,21/01/1982,0,0,0
6301,FIRE,Westmoreland,06/02/1982,1,0,0
6300,FIRE,Hanover,19/01/1982,0,0,0
6299,FIRE,Kingston,07/01/1982,0,0,0
6298,STRUCTURE,Hanover,12/09/1980,0,0,0
6297,FIRE,Kingston,25/12/1979,0,0,0
6296,ELECTRICSTORM,St. Ann,20/09/1978,0,0,0
6295,LANDSLIDE,St. Mary,16/05/1980,0,0,0
6294,ELECTRICSTORM,Westmoreland,25/08/1979,0,0,0
