Country,Year,Type of event,Total affected,Total Damage
Honduras,2005,Storm,0,3136841
Honduras,2006,Flood,1900,90016
Honduras,2006,Storm,824,0
Honduras,2007,Drought,2500,0
Honduras,2007,Flood,72978,14
Honduras,2007,Storm,630,0
Honduras,2008,Flood,1028922,7000000
Honduras,2008,Storm,3053,2000000
Honduras,2009,Earthquake,0,200
Honduras,2009,Flood,124,0
Honduras,2010,Drought,496535,0
Honduras,2010,Earthquake,880,0
Honduras,2010,Flood,191974,500000
Honduras,2010,Storm,98315,0
Honduras,2011,Flood,37934,0
Honduras,2011,Storm,39238,0
Honduras,2012,Drought,28034,2044800
Honduras,2012,Flood,86802,0
Honduras,2012,Storm,5206,0
Honduras,2013,Earthquake,9,0
Honduras,2013,Flood,406,0
Honduras,2013,Storm,61,0
Honduras,2014,Drought,400,0
Honduras,2015,Drought,10037,0
Honduras,2015,Flood,28,0
Honduras,2015,Storm,884,0
Indonesia,2002,Earthquake,3273,0
Indonesia,2002,Flood,1068969,0
Indonesia,2003,Drought,0,0
Indonesia,2003,Earthquake,5603,0
Indonesia,2003,Flood,709149,0
Indonesia,2003,Storm,217,0
Indonesia,2004,Drought,0,0
Indonesia,2004,Earthquake,709869,0
Indonesia,2004,Flood,1044962,0
Indonesia,2004,Storm,1088,0
Indonesia,2005,Drought,0,0
Indonesia,2005,Earthquake,111014,0
Indonesia,2005,Flood,229519,0
Indonesia,2005,Storm,1248,0
Indonesia,2006,Drought,0,0
Indonesia,2006,Earthquake,2228743,0
Indonesia,2006,Flood,1060362,0
Indonesia,2006,Storm,9133,0
Indonesia,2007,Drought,0,0
Indonesia,2007,Earthquake,205626,0
Indonesia,2007,Flood,1719367,0
Indonesia,2007,Storm,28284,0
Indonesia,2008,Drought,0,0
Indonesia,2008,Earthquake,1737,0
Indonesia,2008,Flood,5292612,0
Indonesia,2008,Storm,5886,0
Indonesia,2009,Drought,0,0
Indonesia,2009,Earthquake,250316,0
Indonesia,2009,Flood,5269941,0
Indonesia,2009,Storm,4955,0
Indonesia,2010,Drought,172000,0
Indonesia,2010,Earthquake,21739,0
Indonesia,2010,Flood,978725,0
Indonesia,2010,Storm,594,0
Indonesia,2011,Drought,0,0
Indonesia,2011,Earthquake,4249,0
Indonesia,2011,Flood,447016,0
Indonesia,2011,Storm,4034,0
Indonesia,2012,Drought,233167,0
Indonesia,2012,Earthquake,1285,0
Indonesia,2012,Flood,669021,0
Indonesia,2012,Storm,9202,0
Indonesia,2013,Drought,2223225,0
Indonesia,2013,Earthquake,64017,0
Indonesia,2013,Flood,1475381,0
Indonesia,2013,Storm,1474,0
Indonesia,2014,Drought,169977,0
Indonesia,2014,Earthquake,334,0
Indonesia,2014,Flood,2046539,0
Indonesia,2014,Storm,3558,0
Indonesia,2015,Drought,232348,0
Indonesia,2015,Earthquake,17454,0
Indonesia,2015,Flood,897634,0
Indonesia,2015,Storm,16,0
Indonesia,2016,Earthquake,110307,0
Indonesia,2016,Flood,2918101,0
Indonesia,2016,Storm,631,0
Indonesia,2017,Drought,983096,0
Indonesia,2017,Earthquake,7874,0
Indonesia,2017,Flood,2518684,0
Indonesia,2017,Storm,10379,0
Indonesia,2018,Drought,7798763,0
Indonesia,2018,Earthquake,789893,0
Indonesia,2018,Flood,1600734,0
Indonesia,2018,Storm,115932,0
Indonesia,2019,Drought,3872358,0
Indonesia,2019,Earthquake,313779,0
Indonesia,2019,Flood,1802239,0
Indonesia,2019,Storm,3787,0
Iran,2002,Earthquake,40841,0
Iran,2003,Earthquake,297049,521666000
Iran,2003,Flood,1370,838000
Iran,2004,Drought,110000,0
Iran,2004,Flood,4043,0
Iran,2004,Storm,2500,240000
Iran,2005,Earthquake,22022,0
