"Event Year","Event ID","Country","Peril","Loss (USD)","Loss Type"
173,371,"Bangladesh","Cyclone",2830322.00416247,"Occurrence"
173,372,"Bangladesh","Cyclone",155238.41351154,"Occurrence"
174,373,"Bangladesh","Cyclone",15351200.8545875,"Occurrence"
174,374,"Bangladesh","Cyclone",3330.89294399564,"Occurrence"
175,375,"Bangladesh","Cyclone",68560.6204730478,"Occurrence"
175,376,"Bangladesh","Cyclone",4207470.74604814,"Occurrence"
175,377,"Bangladesh","Cyclone",313339848.717807,"Occurrence"
175,378,"Bangladesh","Cyclone",19756320.759644,"Occurrence"
176,379,"Bangladesh","Cyclone",74122.8608335161,"Occurrence"
176,380,"Bangladesh","Cyclone",16005518.0751819,"Occurrence"
176,381,"Bangladesh","Cyclone",40980551.230062,"Occurrence"
177,382,"Bangladesh","Cyclone",4197.46283343083,"Occurrence"
177,383,"Bangladesh","Cyclone",134748785.286341,"Occurrence"
178,384,"Bangladesh","Cyclone",666427.485339568,"Occurrence"
178,385,"Bangladesh","Cyclone",193714.318851937,"Occurrence"
178,386,"Bangladesh","Cyclone",38372.4035828774,"Occurrence"
179,387,"Bangladesh","Cyclone",896997.515015907,"Occurrence"
180,388,"Bangladesh","Cyclone",1396.40973966285,"Occurrence"
180,389,"Bangladesh","Cyclone",2327440.38993011,"Occurrence"
180,390,"Bangladesh","Cyclone",83351.0907908266,"Occurrence"
180,391,"Bangladesh","Cyclone",13061.9006957991,"Occurrence"
181,392,"Bangladesh","Cyclone",2050831.36141611,"Occurrence"
181,393,"Bangladesh","Cyclone",717981.749019391,"Occurrence"
181,394,"Bangladesh","Cyclone",2075237.82747792,"Occurrence"
181,395,"Bangladesh","Cyclone",671360.809399274,"Occurrence"
181,396,"Bangladesh","Cyclone",1017561.80239232,"Occurrence"
181,397,"Bangladesh","Cyclone",33780.8857863515,"Occurrence"
183,398,"Bangladesh","Cyclone",763218.259303663,"Occurrence"
183,399,"Bangladesh","Cyclone",565698711.844385,"Occurrence"
185,400,"Bangladesh","Cyclone",337122.055770383,"Occurrence"
185,401,"Bangladesh","Cyclone",734724.336098846,"Occurrence"
185,402,"Bangladesh","Cyclone",1062943.34072545,"Occurrence"
186,403,"Bangladesh","Cyclone",6157.75886543915,"Occurrence"
186,404,"Bangladesh","Cyclone",2591193.38204803,"Occurrence"
188,405,"Bangladesh","Cyclone",17152796.5042632,"Occurrence"
189,406,"Bangladesh","Cyclone",15503968.6480161,"Occurrence"
189,407,"Bangladesh","Cyclone",1147.55261477209,"Occurrence"
190,408,"Bangladesh","Cyclone",31972932.1939235,"Occurrence"
190,409,"Bangladesh","Cyclone",18572.9311276996,"Occurrence"
190,410,"Bangladesh","Cyclone",45852.1232878925,"Occurrence"
191,411,"Bangladesh","Cyclone",22979.4214112525,"Occurrence"
192,412,"Bangladesh","Cyclone",63791.635412108,"Occurrence"
