,,2019,2023,
Madagascar,2017,25570540,26169542,2.34%
Madagascar,2018,26262368,26846541,2.22%
Madagascar,2019,26969307,27533134,2.09%
Madagascar,2020,,28225177,#DIV/0!
Madagascar,2021,,28915653,#DIV/0!
Madagascar,2022,,0,#DIV/0!
Mexico,2002,101684758,100917081,-0.75%
Mexico,2003,103081020,102429341,-0.63%
Mexico,2004,104514932,103945813,-0.54%
Mexico,2005,106005203,105442402,-0.53%
Mexico,2006,107560153,106886790,-0.63%
Mexico,2007,109170502,108302973,-0.79%
Mexico,2008,110815271,109684489,-1.02%
Mexico,2009,112463887,111049428,-1.26%
Mexico,2010,114092963,112532401,-1.37%
Mexico,2011,115695473,114150481,-1.34%
Mexico,2012,117274155,115755909,-1.29%
Mexico,2013,118827161,117290686,-1.29%
Mexico,2014,120355128,118755887,-1.33%
Mexico,2015,121858258,120149897,-1.40%
Mexico,2016,123333376,121519221,-1.47%
Mexico,2017,124777324,122839258,-1.55%
Mexico,2018,126190788,124013861,-1.73%
Mexico,2019,127575529,125085311,-1.95%
Mexico,2020,,125998302,#DIV/0!
Mexico,2021,,126705138,#DIV/0!
Mexico,2022,,0,#DIV/0!
Morocco,2002,29454768,29301817,-0.52%
Morocco,2003,29782884,29661270,-0.41%
Morocco,2004,30115214,30033125,-0.27%
Morocco,2005,30455561,30431902,-0.08%
Morocco,2006,30804683,30833022,0.09%
Morocco,2007,31163673,31232633,0.22%
Morocco,2008,31536811,31634992,0.31%
Morocco,2009,31929087,32042877,0.36%
Morocco,2010,32343389,32464865,0.38%
Morocco,2011,32781850,32903699,0.37%
Morocco,2012,33241898,33352169,0.33%
Morocco,2013,33715693,33803527,0.26%
Morocco,2014,34192347,34248603,0.16%
Morocco,2015,34663603,34680458,0.05%
Morocco,2016,35126296,35107264,-0.05%
Morocco,2017,35581294,35528115,-0.15%
Morocco,2018,36029138,35927511,-0.28%
Morocco,2019,36471769,36304408,-0.46%
Morocco,2020,,36688772,#DIV/0!
Morocco,2021,,37076584,#DIV/0!
Morocco,2022,,0,#DIV/0!
Mozambique,2002,18764155,18694946,-0.37%
Mozambique,2003,19331100,19186754,-0.75%
Mozambique,2004,19910552,19694411,-1.09%
Mozambique,2005,20493925,20211114,-1.38%
Mozambique,2006,21080110,20735982,-1.63%
Mozambique,2007,21673316,21280513,-1.81%
Mozambique,2008,22276596,21845571,-1.93%
Mozambique,2009,22894710,22436660,-2.00%
Mozambique,2010,23531574,23073723,-1.95%
Mozambique,2011,24187487,23760421,-1.77%
Mozambique,2012,24862648,24487611,-1.51%
Mozambique,2013,25560725,25251731,-1.21%
Mozambique,2014,26286163,26038704,-0.94%
Mozambique,2015,27042002,26843246,-0.73%
Mozambique,2016,27829942,27696493,-0.48%
Mozambique,2017,28649007,28569441,-0.28%
Mozambique,2018,29495962,29423878,-0.24%
Mozambique,2019,30366036,30285595,-0.26%
Mozambique,2020,,31178239,#DIV/0!
Mozambique,2021,,32077072,#DIV/0!
Mozambique,2022,,0,#DIV/0!
Myanmar,2002,47702171,46480230,-2.56%
Myanmar,2003,48148902,46924293,-2.54%
Myanmar,2004,48564484,47338446,-2.52%
Myanmar,2005,48949924,47724471,-2.50%
Myanmar,2006,49301050,48088274,-2.46%
Myanmar,2007,49621475,48445647,-2.37%
Myanmar,2008,49929642,48729486,-2.40%
Myanmar,2009,50250367,49015836,-2.46%
Myanmar,2010,50600818,49390988,-2.39%
Myanmar,2011,50990615,49794522,-2.35%
Myanmar,2012,51413698,50218185,-2.33%
Myanmar,2013,51852451,50648334,-2.32%
Myanmar,2014,52280807,51072436,-2.31%
Myanmar,2015,52680726,51483949,-2.27%
Myanmar,2016,53045226,51892349,-2.17%
Myanmar,2017,53382581,52288341,-2.05%
Myanmar,2018,53708395,52666014,-1.94%
Myanmar,2019,54045420,53040212,-1.86%
Myanmar,2020,,53423198,#DIV/0!
Myanmar,2021,,53798084,#DIV/0!
Myanmar,2022,,0,#DIV/0!
Namibia,2002,1851523,1888525,2.00%
Namibia,2003,1879117,1915425,1.93%
Namibia,2004,1907745,1939406,1.66%
Namibia,2005,1938320,1962865,1.27%
Namibia,2006,1971317,1986558,0.77%
Namibia,2007,2006514,2011492,0.25%
Namibia,2008,2043394,2038552,-0.24%
Namibia,2009,2081044,2067919,-0.63%
Namibia,2010,2118874,2099271,-0.93%
Namibia,2011,2156701,2132340,-1.13%
Namibia,2012,2194784,2167470,-1.24%
Namibia,2013,2233510,2204510,-1.30%
Namibia,2014,2273430,2243001,-1.34%
Namibia,2015,2314904,2282704,-1.39%
Namibia,2016,2358041,2323352,-1.47%
Namibia,2017,2402603,2364534,-1.58%
Namibia,2018,2448255,2405680,-1.74%
Namibia,2019,2494530,2446644,-1.92%
Namibia,2020,,2489098,#DIV/0!
Namibia,2021,,2530151,#DIV/0!
Namibia,2022,,0,#DIV/0!
Nepal,2002,24725627,25332178,2.45%
Nepal,2003,25080872,25682908,2.40%
Nepal,2004,25419344,26003965,2.30%
Nepal,2005,25744500,26285110,2.10%
Nepal,2006,26066693,26518971,1.74%
Nepal,2007,26382581,26713655,1.25%
Nepal,2008,26666576,26881544,0.81%
Nepal,2009,26883535,27026941,0.53%
Nepal,2010,27013212,27161567,0.55%
Nepal,2011,27041437,27266399,0.83%
Nepal,2012,26989862,27330694,1.26%
Nepal,2013,26917906,27381555,1.72%
Nepal,2014,26906926,27462106,2.06%
Nepal,2015,27015031,27610325,2.20%
Nepal,2016,27261131,27861186,2.20%
Nepal,2017,27627124,28183426,2.01%
Nepal,2018,28087871,28506712,1.49%
Nepal,2019,28608710,28832496,0.78%
Nepal,2020,,29348627,#DIV/0!
Nepal,2021,,30034989,#DIV/0!
Nepal,2022,,0,#DIV/0!
Nicaragua,2002,5219328,5259006,0.76%
