Serial,Event,&quot;County&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
30713,ROAD ACCIDENT,KITUI,10/09/2022,0,0,0
30712,FIRE,KIAMBU,10/09/2022,0,0,0
30711,ROAD ACCIDENT,KIAMBU,10/09/2022,0,0,0
30710,ROAD ACCIDENT,MERU,09/09/2022,0,0,0
30709,ROAD ACCIDENT,NANDI,09/09/2022,0,0,0
30708,FIRE,HOMABAY,09/09/2022,0,0,0
30707,DROWNING,MURANGA,09/09/2022,0,0,0
30706,FIRE,KISII,08/09/2022,0,0,0
30705,FIRE,MOMBASA,08/09/2022,0,0,0
30704,ELECTROCUTION,BARINGO,06/09/2022,0,0,0
30703,FIRE,KAKAMEGA,06/09/2022,0,0,0
30702,ROAD ACCIDENT,NAIROBI,07/09/2022,0,0,0
30701,ROAD ACCIDENT,MAKUENI,06/09/2022,0,0,0
30700,ROAD ACCIDENT,NAIROBI,08/09/2022,0,0,0
30699,ROAD ACCIDENT,NYERI,07/09/2022,0,0,0
30698,FIRE,MOMBASA,06/09/2022,0,0,0
30697,ROAD ACCIDENT,MURANGA,07/09/2022,0,0,0
30696,FIRE,LAMU,06/09/2022,0,0,0
30695,DROWNING,TURKANA,06/09/2022,0,0,0
30694,FIRE,HOMABAY,06/09/2022,0,0,0
30693,FIRE,KERICHO,08/09/2022,0,0,0
30692,FIRE,MIGORI,07/09/2022,0,0,0
30691,ROAD ACCIDENT,MAKUENI,02/09/2022,0,0,0
30690,ROAD ACCIDENT,NYERI,02/09/2022,0,0,0
30689,DROWNING,HOMABAY,02/09/2022,0,0,0
30688,ROAD ACCIDENT,NAIROBI,02/09/2022,0,0,0
30687,ROAD ACCIDENT,MURANGA,02/09/2022,0,0,0
30686,ELECTROCUTION,KILIFI,02/09/2022,0,0,0
30685,ROAD ACCIDENT,KITUI,06/09/2022,0,0,0
30684,ROAD ACCIDENT,KIRINYAGA,06/09/2022,0,0,0
30683,ROAD ACCIDENT,UASIN-GISHU,06/09/2022,0,0,0
30682,ROAD ACCIDENT,KAJIADO,05/09/2022,0,0,0
30681,ROAD ACCIDENT,NAIROBI,06/09/2022,0,0,0
30680,ROAD ACCIDENT,NAIROBI,06/09/2022,0,0,0
30679,ROAD ACCIDENT,MURANGA,05/09/2022,0,0,0
30678,FIRE,NYANDARUA,05/09/2022,0,0,0
30677,DROWNING,HOMABAY,03/09/2022,0,0,0
30676,ROAD ACCIDENT,MURANGA,03/09/2022,0,0,0
30674,ROAD ACCIDENT,NAIROBI,03/09/2022,0,0,0
30673,ROAD ACCIDENT,NYAMIRA,05/09/2022,0,0,0
30672,ROAD ACCIDENT,NAIROBI,04/09/2022,0,0,0
30671,ROAD ACCIDENT,NAIROBI,05/09/2022,0,0,0
30670,FIRE,NAROK,26/08/2022,0,0,0
30669,FIRE,MURANGA,26/08/2022,0,0,0
30667,FIRE,KWALE,01/09/2022,0,0,0
30666,FIRE,BOMET,01/09/2022,0,0,0
30665,FIRE,NAKURU,01/09/2022,0,0,0
30664,FIRE,NYAMIRA,2022/8/279,0,0,0
30663,FIRE,KISII,27/08/2022,0,0,0
30663,FIRE,KISII,27/08/2022,0,0,0
30662,LIGHTNING,KAKAMEGA,28/08/2022,0,0,0
30662,LIGHTNING,KAKAMEGA,28/08/2022,0,0,0
30661,ROAD ACCIDENT,UASIN-GISHU,28/08/2022,0,0,0
30657,ROAD ACCIDENT,MURANGA,29/08/2022,0,0,0
30655,ROAD ACCIDENT,NYERI,28/08/2022,0,0,0
30653,FIRE,MERU,28/08/2022,0,0,0
30645,ROAD ACCIDENT,NAIROBI,28/08/2022,0,0,0
30643,ROAD ACCIDENT,NAIROBI,28/08/2022,0,0,0
